id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
1620,miller v. schoene,米勒诉舍恩案,米勒诉舍恩案,ˈmɪlər vi. ʃɑin,,9,1,textbook,,
1621,bundle of rights,一束权利,一束权利,ˈbəndəl əv raɪts,,9,2,textbook,,
1622,lucas v. south carolina coastal council,卢卡斯诉南卡罗来纳州海岸委员会案,卢卡斯诉南卡罗来纳州海岸委员会案,ˈlukəs vi. saʊθ ˌkɛrəˈlaɪnə ˈkoʊstəl ˈkaʊnsəl,,9,1,textbook,,
1623,dolan v. city of tigard,多兰诉蒂加德市案,多兰诉蒂加德市案,,,9,1,textbook,,
1624,unconstitutional conditions,违宪条件,违宪条件,ˌənˌkɑnstəˈtuʃənəl kənˈdɪʃənz,,9,1,textbook,,
1625,physical taking,实体征收,实体征收,ˈfɪzɪkəl ˈteɪkɪŋ,,9,2,textbook,,
1626,regulatory taking,规制性征收,规制性征收,ˈrɛgjələˌtɔri ˈteɪkɪŋ,,9,2,textbook,,
1627,"tahoe-sierra preservation council, inc. v. tahoe regional planning agency",太浩—塞拉保护委员会诉太浩区域规划署案,太浩—塞拉保护委员会诉太浩区域规划署案,,,9,1,textbook,,
1628,two case studies in environmental law,环境法案例研究两则,环境法案例研究两则,tu keɪs ˈstədiz ɪn ɪnˌvaɪrənˈmɛnəl lɔ,,9,1,textbook,,
1629,rapanos v. united states,拉帕诺斯诉美国案,拉帕诺斯诉美国案,,,9,2,textbook,,
1630,kelo v. city of new london,新伦敦市诉凯洛案,新伦敦市诉凯洛案,,,9,3,textbook,,
1631,"clean water act, cwa",清洁水法,清洁水法,,,9,1,textbook,,
1632,the waters of the united states,美国水域,美国水域,ðə ˈwɔtərz əv ðə juˈnaɪtɪd steɪts,,9,2,textbook,,
1633,use by the public,公众使用,公众使用,juz baɪ ðə ˈpəblɪk,,9,1,textbook,,
1634,for public use,公用,公用,fər ˈpəblɪk juz,,9,1,textbook,,
1635,Congress,国会,国会,ˈkɑŋgrəs,〈美〉联邦立法机关，依 1787 年宪法第一条设立，由参议院（Senate）和众议院（House of Representatives）两院组成，1789 年召开第一届国会。,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",196,dictionary,,
1636,President,总统,总统,ˈprɛzɪdənt,〈美〉联邦政府行政首长，兼三军统帅；由选举人团选举产生，任期 4 年。,"1,3,4,5,6,7,8,9,14",170,manual,,
1637,counsel,律师；代理律师,律师；代理律师,ˈkaʊnsəl,代表当事人参与诉讼，或代表、协助客户处理法律事务（谈判、起草文件等）的律师；〈英〉亦指出庭律师（barrister）。,"1,3,4,6,7,8,10,14",105,dictionary,,
1638,lawyer,律师,律师,ˈlɔjər,从事法律职业者的通称。美国常与 attorney 通用；英国则区分为 barrister（出庭律师）与 solicitor（事务律师）。,"2,3,4,6,7,8,11,12,13,14",85,manual,,
1639,attorney,律师；代理人,律师；代理人,əˈtərni,在美国指获准执业、代理他人处理法律事务者；在英国旧时指被准许在较高级别普通法院执业的代理人。,"1,3,4,6,7,8,10,11,12,13,14",64,dictionary,,
1640,Senate,参议院,参议院,ˈsɛnɪt,〈美〉美国国会两院之一（上院）。全院共 100 名参议员，每州 2 名，任期 6 年；与总统共同行使批准条约、任命官员等权力，并独享对总统弹劾案的审理权。,"3,5,6,14",62,manual,,
1641,bar,律师界；律师资格,律师界；律师资格,bɑr,"取得执业资格的律师群体；""pass the bar"" 指通过律师资格考试；亦指法庭内的围栏（律师席与旁听席的分界）。","2,3,5,6,7,10,12,13",40,dictionary,,
1642,department,〈美〉（联邦政府）部,〈美〉（联邦政府）部,dɪˈpɑrtmənt,联邦行政部门的组成单位，通常以内阁级部长为首长，如 Department of State（国务院）。,"1,2,4,6,7,8,9,10,13",32,dictionary,,
1643,regulation,行政法规；规章,行政法规；规章,ˌrɛgjəˈleɪʃən,政府各部门依据法定权限发布的从属性法律规范，区别于国会制定的 statute（成文法）。,"2,6,8,9,10,11,12,13,14",30,dictionary,,
1644,federal court,联邦法院,联邦法院,ˈfɛdərəl kɔrt,依美国宪法和国会立法设立、行使联邦司法权的法院系统，与各州法院系统并行；分地区法院、上诉法院和最高法院三级。,"1,3,4,5,6,9,12",26,manual,,
1645,motion,动议,动议,ˈmoʊʃən,诉讼中当事人向法院提出的、请求作出特定裁决或命令的正式申请，如 motion to dismiss、motion for summary judgment。,"2,4,5,6,7,10,13",23,dictionary,,
1646,Senator,参议员,参议员,ˈsɛnətər,美国参议院成员，每州 2 名，任期 6 年。,3,20,dictionary,,
1647,Representative,众议员,众议员,ˌrɛprɪˈzɛnətɪv,〈美〉众议院议员；亦泛指代表、诉讼代理人。,"1,2,3,4,5,13",11,dictionary,,
1648,interstate commerce,州际贸易,州际贸易,ˌɪntərˈsteɪt ˈkɑmərs,〈美〉不同州之间的商业交易；宪法赋予国会管理州际及对外贸易的权力。,"1,6,8",11,dictionary,,
1649,House of Representatives,众议院,众议院,haʊs əv ˌrɛprɪˈzɛnətɪvz,〈美〉国会两院中的下院，1789 年成立；现有 435 名议员，席位按各州人口分配，每州至少 1 名，任期 2 年；独享提出税收法案与启动弹劾程序的权力。,"3,5,6",7,dictionary,,
1650,sentencing,量刑,量刑,ˈsɛntənsɪŋ,法院对已作有罪答辩或已被定罪的刑事被告人正式宣告刑罚的判决程序；可判处的刑罚包括监禁、缓刑（probation）和罚金，美国还包括死刑。,7,7,dictionary,,
1651,Parliament,议会,议会,ˈpɑrləmɛnt,〈英〉英国最高立法机关，由国王、上议院（House of Lords）和下议院（House of Commons）组成。,"2,12,13",6,dictionary,,
1652,treaty,条约,条约,ˈtriti,两国或多国间正式签署和批准的、受国际法约束的国际协议；在美国须经参议院三分之二多数批准。,"3,4,5,11,12",6,dictionary,,
1653,bureaucracy,官僚制；官僚机构,官僚制；官僚机构,bjʊˈrɑkrəsi,指由训练有素的专业人员依固定规则持续推行的行政管理体制，也指职业行政官员集团或该体制的弊病（如文牍主义、拖沓）。,"1,8",5,dictionary,,
1654,federal system,联邦制,联邦制,ˈfɛdərəl ˈsɪstəm,联邦政府与各州政府分权并存的体制：联邦权力源于宪法列举，未列举的其余权力由各州保留（宪法第十条修正案）。,"1,4,6",5,manual,,
1655,interest group,利益集团,利益集团,ˈɪntəˌrɛst grup,为实现共同利益而组织、力图影响立法与公共政策的团体，主要通过游说（lobbying）争取有利法律、阻挠不利立法。,"1,3,14",5,manual,,
1656,High Court,〈英〉高等法院,〈英〉高等法院,haɪ kɔrt,英国高等法院（Senior Courts of England and Wales 的组成部分），主要审理重大民事案件，并受理下级法院上诉。,"3,5,6,13",4,manual,,
1657,civil law system,大陆法系,大陆法系,ˈsɪvəl lɔ ˈsɪstəm,以成文法典为主要法源、法官以适用法典为主的法律传统，区别于以判例为核心的普通法系（common law system）。,2,3,manual,,
1658,court of general jurisdiction,普通管辖法院,普通管辖法院,kɔrt əv ˈʤɛnərəl ˌʤʊrɪsˈdɪkʃən,对民、刑事各类案件均有管辖权（无专门限制）的法院，多为高等法院。,3,3,dictionary,,
1659,executive branch,行政部门,行政部门,ɪgˈzɛkjətɪv brænʧ,联邦政府三权之一，由总统领导，负责执行法律、管理联邦行政机构。,"1,6,7",3,manual,,
1660,justice of the peace,治安法官,治安法官,ˈʤəstɪs əv ðə pis,英美基层司法官员，多由非职业法律人士担任，处理轻微刑事、治安及预审事务。,"3,5",3,manual,,
1661,political party,政党,政党,pəˈlɪtɪkəl ˈpɑrti,通过竞选公职、组织政府以推行其政策纲领的政治组织。,"3,6",3,manual,,
1662,regulatory agency,制定规章的行政机构,制定规章的行政机构,ˈrɛgjələˌtɔri ˈeɪʤənsi,〈美〉为监督某一经济领域而设立的准司法性政府委员会，有权制定规章、执行规章并裁决违规案件，如联邦贸易委员会、证券交易委员会。,"8,9",3,dictionary,,
1663,bailiff,法庭执达官,法庭执达官,ˈbeɪlɪf,由郡长或行政司法官任命的领薪法庭事务官，职责包括送达文书、召集陪审团、征收罚金、执行拘捕与判决等。,"2,4",2,dictionary,,
1664,Associate Justice,〈美〉（最高法院）大法官,〈美〉（最高法院）大法官,əˈsoʊʃiˌeɪt ˈʤəstɪs,除首席大法官（Chief Justice）以外的美国最高法院法官。,4,1,manual,,
1665,Cabinet,内阁,内阁,ˈkæbənət,由各部部长等组成的顾问机构，与国家政策作集体决定；起源于英国查理二世时期。在美国指总统任命的各部部长的集体。,6,1,dictionary,,
1666,Inns of Court,〈英〉出庭律师公会,〈英〉出庭律师公会,ɪnz əv kɔrt,〈英〉自治性的出庭律师社团，兼具法律职业训练、同业纪律与资格授予职能，可追溯至 13 世纪；现存四所：林肯公会、格雷公会、中殿公会、内殿公会。,2,1,dictionary,,
1667,King's Bench,〈英〉王座法庭,〈英〉王座法庭,kɪŋz bɛnʧ,英国旧时三大中央普通法法庭之一，以国王名义审理案件；后并入高等法院王座分庭（Queen's Bench Division）。,2,1,manual,,
1668,Miranda rights,米兰达权利,米兰达权利,mərˈændə raɪts,"源自 Miranda v. Arizona, 384 U.S. 436 (1966)：警方在羁押讯问前，必须告知犯罪嫌疑人有权保持沉默、有权获得律师帮助；未告知而取得的陈述不得作为证据。",7,1,manual,,
1669,Restatement,法律重述,法律重述,riˈsteɪtmənt,美国法学会（American Law Institute）编纂的权威性法律整理著作，虽非立法，但对法院裁判有重要影响，如《合同法重述》。,2,1,manual,,
1670,bail,保释,保释,beɪl,刑事诉讼中，被逮捕或拘押的犯罪嫌疑人、被告人交纳一定金钱或提供保证人、满足法定条件，保证按传唤到案后予以释放的制度。,7,1,dictionary,,
1671,ballot,选票；投票,选票；投票,ˈbælət,选举中的投票方式与选票；不记名投票（secret ballot）源于 1856 年南澳大利亚。,5,1,dictionary,,
1672,bar exam,律师资格考试,律师资格考试,bɑr ɪgˈzæm,bar examination，取得律师执业资格须通过的考试。,6,1,dictionary,,
1673,circuit court,巡回法院；巡回上诉法院,巡回法院；巡回上诉法院,ˈsərkət kɔrt,〈美〉联邦中间上诉法院的旧称，1948 年后改称美国上诉法院（United States Courts of Appeals）。,6,1,dictionary,,
1674,court of limited jurisdiction,有限管辖权法院,有限管辖权法院,kɔrt əv ˈlɪmɪtɪd ˌʤʊrɪsˈdɪkʃən,只对特定类型案件或争议金额有限的案件有管辖权的法院，如遗嘱检验法院、小额索赔法院、青少年法院。,3,1,dictionary,,
1675,enumerated powers,明确列举的权力,明确列举的权力,ɪˈnumərˌeɪtɪd paʊərz,〈美〉宪法明确授予联邦政府某些机构或部门的权力，主要列举于宪法第一条；未列举者由各州或人民保留。,12,1,dictionary,,
1676,federal jurisdiction,联邦法院管辖权,联邦法院管辖权,ˈfɛdərəl ˌʤʊrɪsˈdɪkʃən,〈美〉联邦法院依宪法和国会立法享有的司法权力。,3,1,dictionary,,
1677,legislative branch,立法部门,立法部门,ˈlɛʤəsˌleɪtɪv brænʧ,联邦政府三权之一，即国会（参议院与众议院），负责制定法律。,7,1,manual,,
1678,prosecuting attorney,〈美〉检察官,〈美〉检察官,ˈprɑsɪˌkjutɪŋ əˈtərni,经选举或任命，在各司法管辖区、巡回审判区或县执行刑事追诉的政府官员，又称州检察官（state's attorney）或地区检察官（district attorney）。,4,1,dictionary,,
1679,states' rights,州权,州权,steɪts' raɪts,〈美〉联邦各州保留的权力；宪法第十条修正案规定未授予联邦、亦未禁止各州行使的权力，均归属于各州及其人民。,7,1,dictionary,,
